PROV1;New Arkhangelsk;X;;;;;;;;;;;;
PROV1;Sitka;Sitka;Sitka;Oceania;Sitka;oceania;?e?ia;Oce?ie;;;;;;x
PROV2;Saint Dionysius;X;;;;;;;;;;;;
PROV2;Yakutat;Yakutat;Yakutat;;Yakutat;;;;;;;;;x
PROV3;Kasilof;X;;;;;;;;;;;;
PROV3;Kenai;Kenai;Kenai;;Kenai;;;;;;;;;x
PROV4;Dutch Harbor;Dutch Harbor;Dutch Harbor;;Dutch Harbor;;;;;;;;;x
PROV4;Paul's Harbor;X;;;;;;;;;;;;
PROV5;Bethel;Bethel;Bethel;;Bethel;;;;;;;;;x
PROV5;Unalaska;X;;;;;;;;;;;;
PROV6;Selkirk;X;;;;;;;;;;;;
PROV6;Whitehorse;Whitehorse;Whitehorse;;Whitehorse;;;;;;;;;x
PROV7;Dawson;Dawson;Dawson;;Dawson;;;;;;;;;x
PROV8;Belluno;X;;;;;;;;;;;;
PROV8;Ross River;Ross River;Ross River;;R? Ross;;;;;;;;;x
PROV9;Fort MacKenzie;X;;;;;;;;;;;;
PROV9;Fort Simpson;Fort Simpson;Fort Simpson;;Fuerte Simpson;;;;;;;;;x
PROV10;Inuvik;Inuvik;Inuvik;;Inuvik;;;;;;;;;x
PROV10;Pescara;X;;;;;;;;;;;;
PROV11;Echo Bay;Echo Bay;Echo Bay;;Echo Bay;;;;;;;;;x
PROV12;Reliance;Reliance;Reliance;;Reliance;;;;;;;;;x
PROV12;Sado;X;;;;;;;;;;;;
PROV13;New Westminster;X;;;;;;;;;;;;
PROV13;Vancouver;Vancouver;Vancouver;;Vancouver;;;;;;;;;x
PROV14;Vancouver Island;?e de Vancouvert;Vancouver Island;;Isla de Vancouver;;;;;;;;;x
PROV14;Victoria;X;;;;;;;;;;;;
PROV15;Prince Rupert;Prince Rupert;Prince Rupert;;Prince Rupert;;;;;;;;;x
PROV16;Glenora;Glenora;Glenora;;Glenora;;;;;;;;;x
PROV17;Atlin;Atlin;Atlin;;Atlin;;;;;;;;;x
PROV17;Stikine;X;;;;;;;;;;;;
PROV18;Fort Saint John;Fort Saint John;Fort Saint John;;Fuerte Saint John;;;;;;;;;x
PROV18;New Caledonia;X;;;;;;;;;;;;
PROV19;Fort St. James;X;;;;;;;;;;;;
PROV19;Prince George;Prince George;Prince George;;Prince George;;;;;;;;;x
PROV19;Valemount;X;;;;;;;;;;;;
PROV20;Kelowna;Kelowna;Kelowna;;Kelowna;;;;;;;;;x
PROV20;Okanagan;X;;;;;;;;;;;;
PROV21;Kootenay;X;;;;;;;;;;;;
PROV21;Vernon;Vernon;Vernon;;Vernon;;;;;;;;;x
PROV22;Bonnyville;X;;;;;;;;;;;;
PROV22;Buckingham House;X;;;;;;;;;;;;
PROV22;Edmonton;Edmonton;Edmonton;;Edmonton;;;;;;;;;x
PROV23;Athabaska Landing;Athabaska Landing;Athabaska Landing;;Athabaska Landing;;;;;;;;;x
PROV23;Fort McMurray;X;;;;;;;;;;;;
PROV24;Fort Chesterfield;X;;;;;;;;;;;;
PROV24;Jasper;Jasper;Jasper;;Jasper;;;;;;;;;x
PROV25;Banff;Banff;Banff;;Banff;;;;;;;;;x
PROV25;Old Bow Fort;X;;;;;;;;;;;;
PROV26;Calgary;Calgary;Calgary;;Calgary;;;;;;;;;x
PROV26;Rocky Mountain House;X;;;;;;;;;;;;
PROV27;Denwood;Denwood;Denwood;;Denwood;;;;;;;;;x
PROV27;Edmonton;X;;;;;;;;;;;;
PROV28;Fort MacLeod;Fort MacLeod;Fort MacLeod;;Fuerte MacLeod;;;;;;;;;x
PROV28;Jasper;X;;;;;;;;;;;;
PROV29;Kyzylkum;X;;;;;;;;;;;;
PROV29;Medicine Hat;Medicine Hat;Medicine Hat;;Medicine Hat;;;;;;;;;x
