###################################################################;;X
#HPM rebels;;X
###################################################################;;X
independence_rebels_title;Независимость;;;;;;;;;;;;;
independence_rebels_name;Борцы за независимость;;;;;;;;;;;;;
###################################################################;;X
#HPM events;;X
###################################################################;;X
monthly_substate_payment_title;Ежемесячные выплаты;X
monthly_substate_payment_desc;Будучи вассальным государством, мы вынуждены вносить свой вклад в казну нашего сюзерена.;X
ottoman_oppression_mil_gain_title;ИИ: Угнетение религиозных меньшинств;X
ottoman_oppression_mil_gain_desc;Религиозные меньшинства в Османской Империи сеют смуту.;X
native_integration_status_on_title;Статус туземцев;X
native_integration_status_on_desc;Со времен колонизации $COUNTRY$ туземцы были низведены до маргинальной роли в $COUNTRY_ADJ$ обществе. Маргинализированные или просто игнорируемые, туземцы становятся все более агрессивными. В $CAPITAL$ ведутся переговоры об официальной политике в отношении нашего отношения к туземцам: должны ли мы сохранить статус-кво? Дать им полные права? Попробуйте ассимилировать их в $COUNTRY_ADJ$ культуре? Стоит ли пытаться загнать их на грань вымирания?;X
specific_trade_policy_title;Выбор торговой политики;X
specific_trade_policy_desc;While the ruling party has its own broad trade policy, there are several schools of economic thought competing competing for space in the government. Adopting a trade policy will take away some of the flexibility in setting tariffs, but it will allow for more efficient tariff collection and possibly other benefits over what a volatile tariff police might have. \n\n\n§YNOTE: Researching Market Regulations will unlock more options when this decision is taken. You can disable this decision entirely and for the rest of the game by taking it and choosing the last option in the fired event.§W;X
###################################################################;;X
#My countries;;X
###################################################################;;X
PLA;Плантагенеты;X
PLA_ADJ;Плантагенетск.;X
###################################################################;;X
#HPM countries;;X
###################################################################;;X
AGC;Ангоче;X
AGC_ADJ;Ангочск.;X
AGC_absolute_monarchy;Султанат Ангоче;X
AGC_conservative;Sultan's Faction;X
AGC_liberal;Reform Faction;X
AGC_reactionary;Islamic faction;X
AGC_anarcho_liberal;Radical Faction;X
AGC_socialist;Socialist Party;X
AGC_communist;Communist Party;X
AGC_fascist;Fascist Faction;X
###################################################################;;X
AKH;Астрахань;X
AKH_ADJ;Астраханск.;X
AKH_conservative;The Conservatives;X
AKH_liberal;The Liberals;X
AKH_reactionary;The Khanate Faction;X
AKH_anarcho_liberal;The Libertains;X
