PROV1;Sitka;Sitka;Sitka;Oceania;Sitka;oceania;óceánia;Oceánie;;;;
PROV2;Yakutat;Yakutat;Yakutat;;Yakutat;;;;;;;
PROV3;Kenai;Kenai;Kenai;;Kenai;;;;;;;
PROV4;Dutch Harbor;Dutch Harbor;Dutch Harbor;;Dutch Harbor;;;;;;;
PROV5;Bethel;Bethel;Bethel;;Bethel;;;;;;;
PROV6;Whitehorse;Whitehorse;Whitehorse;;Whitehorse;;;;;;;
PROV7;Dawson;Dawson;Dawson;;Dawson;;;;;;;
PROV8;Ross River;Ross River;Ross River;;Río Ross;;;;;;;
PROV9;Fort Simpson;Fort Simpson;Fort Simpson;;Fuerte Simpson;;;;;;;
PROV10;Inuvik;Inuvik;Inuvik;;Inuvik;;;;;;;
PROV11;Echo Bay;Echo Bay;Echo Bay;;Echo Bay;;;;;;;
PROV12;Reliance;Reliance;Reliance;;Reliance;;;;;;;
PROV13;Vancouver;Vancouver;Vancouver;;Vancouver;;;;;;;
PROV14;Vancouver Island;Île de Vancouvert;Vancouver Island;;Isla de Vancouver;;;;;;;
PROV15;Prince Rupert;Prince Rupert;Prince Rupert;;Prince Rupert;;;;;;;
PROV16;Glenora;Glenora;Glenora;;Glenora;;;;;;;
PROV17;Atlin;Atlin;Atlin;;Atlin;;;;;;;
PROV18;Fort Saint John;Fort Saint John;Fort Saint John;;Fuerte Saint John;;;;;;;
PROV19;Prince George;Prince George;Prince George;;Prince George;;;;;;;
PROV20;Kelowna;Kelowna;Kelowna;;Kelowna;;;;;;;
PROV21;Vernon;Vernon;Vernon;;Vernon;;;;;;;
PROV22;Edmonton;Edmonton;Edmonton;;Edmonton;;;;;;;
PROV23;Athabaska Landing;Athabaska Landing;Athabaska Landing;;Athabaska Landing;;;;;;;
PROV24;Jasper;Jasper;Jasper;;Jasper;;;;;;;
PROV25;Banff;Banff;Banff;;Banff;;;;;;;
PROV26;Calgary;Calgary;Calgary;;Calgary;;;;;;;
PROV27;Denwood;Denwood;Denwood;;Denwood;;;;;;;
PROV28;Fort MacLeod;Fort MacLeod;Fort MacLeod;;Fuerte MacLeod;;;;;;;
PROV29;Medicine Hat;Medicine Hat;Medicine Hat;;Medicine Hat;;;;;;;
PROV30;Regina;Regina;Regina;;Regina;;;;;;;
PROV31;Stanley;Stanley;Stanley;;Stanley;;;;;;;
PROV32;Prince Albert;Prince Albert;Prince Albert;;Prince Albert;;;;;;;
PROV33;Asquith;Asquith;Asquith;;Asquith;;;;;;;
PROV34;Saskatoon;Saskatoon;Saskatoon;;Saskatoon;;;;;;;
PROV35;Maple Creek;Maple Creek;Maple Creek;;Maple Creek;;;;;;;
PROV36;Winnipeg;Winnipeg;Winnipeg;;Winnipeg;;;;;;;
PROV37;Churchill;Churchill;Churchill;;Churchill;;;;;;;
PROV38;Indian Lakes;Indian Lakes;Indian Lakes;;Indian Lakes;;;;;;;
PROV39;Norway House;Norway House;Norway House;;Norway House;;;;;;;
PROV40;Dauphin;Dauphin;Dauphin;;Dauphin;;;;;;;
PROV41;Brandon;Brandon;Brandon;;Brandon;;;;;;;
PROV42;Pembina;Pembina;Pembina;;Pembina;;;;;;;
